,Suburb,Rooms,Type,Method,SellerG,Date,Distance,Bedroom2,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname
30019,Altona,2,u,SP,hockingstuart,9/12/2017,11,,,,,,Hobsons Bay City Council,,,Western Metropolitan
26837,Brighton East,2,t,SP,Buxton,11/11/2017,10.3,2,1,1,208,,Bayside City Council,-37.9315,145.0314,Southern Metropolitan
23431,Seddon,4,h,SP,Sweeney,26/8/2017,5.1,4,3,1,934,2014,Maribyrnong City Council,-37.80898,144.88701,Western Metropolitan
33656,Prahran,2,h,S,Biggin,17/3/2018,4.6,2,2,0,164,1915,Stonnington City Council,-37.85277,145.00129,Southern Metropolitan
13586,Reservoir,2,u,S,RW,29/4/2017,11.2,2,1,1,110,1960,Darebin City Council,-37.7216,145.0099,Northern Metropolitan
15212,Port Melbourne,2,u,SP,Cayzer,3/6/2017,3.5,2,2,1,1472,2010,Melbourne City Council,-37.84096,144.93791,Southern Metropolitan
8543,Reservoir,2,h,PI,Barry,18/3/2017,11.2,2,1,6,1041,,Darebin City Council,-37.7152,144.997,Northern Metropolitan
14698,Wollert,4,h,S,Harcourts,1/7/2017,25.5,4,2,2,415,,Whittlesea City Council,-37.6161,145.03937,Northern Metropolitan
19954,Essendon North,3,h,S,Nelson,3/9/2017,8.2,3,2,2,,2013,Moonee Valley City Council,-37.73618,144.89709,Western Metropolitan
28879,Mernda,3,h,S,Millership,25/11/2017,25.9,,,,,,Whittlesea City Council,,,Northern Metropolitan
8894,Richmond,2,t,S,Castran,19/11/2016,2.6,,,,,,Yarra City Council,,,Northern Metropolitan
11468,Heidelberg,3,h,S,Barry,10/9/2016,10.6,3,1,2,1547,,Banyule City Council,-37.7502,145.0706,Eastern Metropolitan
14995,Forest Hill,3,u,S,McGrath,3/6/2017,15.4,3,2,1,258,,Whitehorse City Council,-37.83592,145.16819,Eastern Metropolitan
22086,Sunbury,4,h,S,YPA,19/8/2017,31.7,4,2,2,,,Hume City Council,-37.55791,144.72366,Western Metropolitan
11136,Carlton,2,h,SP,Jellis,8/10/2016,1.8,2,1,0,66,1900,Melbourne City Council,-37.8049,144.9644,Northern Metropolitan
21239,Greenvale,5,h,PI,hockingstuart,16/9/2017,20.4,5,2,2,512,2014,Hume City Council,-37.6248,144.87612,Northern Metropolitan
25391,Strathmore,4,h,S,Brad,21/10/2017,8.2,4,2,2,,,Moonee Valley City Council,-37.74313,144.93247,Western Metropolitan
10568,Watsonia,3,h,S,Ken,3/12/2016,14.9,3,1,0,583,1970,Banyule City Council,-37.7137,145.0778,Northern Metropolitan
18769,Wantirna South,4,h,S,Noel,15/7/2017,14.7,4,3,2,728,1990,Knox City Council,-37.88009,145.22736,Eastern Metropolitan
9401,Southbank,3,u,SP,Greg,4/6/2016,1.2,3,2,1,0,1995,Melbourne City Council,-37.8267,144.9687,Southern Metropolitan
29941,Thornbury,4,h,PI,McGrath,6/1/2018,7,4,2,2,583,,Darebin City Council,-37.7564,145.01575,Northern Metropolitan
518,Ascot Vale,4,h,PI,Nelson,11/2/2017,5.9,,,,,,Moonee Valley City Council,,,Western Metropolitan
22295,Brunswick West,3,h,SP,Nelson,23/9/2017,5.2,3,1,2,218,,Moreland City Council,-37.76563,144.94111,Northern Metropolitan
19019,Hoppers Crossing,4,h,S,hockingstuart,22/7/2017,18.4,4,2,1,570,,Wyndham City Council,-37.87185,144.68931,Western Metropolitan
9724,Strathmore,2,h,S,Barry,22/5/2016,9.7,3,2,1,378,2000,Moonee Valley City Council,-37.7245,144.9097,Western Metropolitan
1853,Brighton,2,u,S,Buxton,16/7/2016,11.2,2,1,1,122,,Bayside City Council,-37.9188,144.9942,Southern Metropolitan
23822,Hillside,3,u,S,Barry,7/10/2017,18,,,,,,Brimbank City Council,,,Western Metropolitan
989,Balwyn,5,h,VB,RT,27/11/2016,9.7,5,4,3,1437,,Boroondara City Council,-37.8058,145.0882,Southern Metropolitan
32587,Doreen,3,h,S,Barry,17/2/2018,25.9,3,2,2,448,2012,Nillumbik Shire Council,-37.58319,145.12487,Northern Victoria
9231,South Yarra,2,u,S,Biggin,6/8/2016,3.3,2,2,1,0,2000,Melbourne City Council,-37.8361,144.9966,Southern Metropolitan
14901,Coburg North,3,h,S,Brad,3/6/2017,6.7,3,1,2,479,1980,Darebin City Council,-37.73251,144.98178,Northern Metropolitan
30190,Caroline Springs,3,h,S,Barry,9/12/2017,14.8,,,,,,Melton City Council,,,Western Metropolitan
3020,Carnegie,4,t,S,hockingstuart,23/4/2016,11.4,4,3,2,305,1996,Glen Eira City Council,-37.8978,145.0506,Southern Metropolitan
14631,St Albans,2,t,SP,YPA,1/7/2017,14,,,,,,Brimbank City Council,,,Western Metropolitan
1328,Bentleigh,4,h,S,Hodges,26/7/2016,13,3,2,2,570,1930,Glen Eira City Council,-37.9139,145.0395,Southern Metropolitan
19459,Footscray,2,u,VB,Jas,29/7/2017,5.1,2,1,1,0,1960,Maribyrnong City Council,-37.80474,144.9021,Western Metropolitan
17718,Preston,3,h,SP,McGrath,8/7/2017,8.4,3,0,0,502,,Darebin City Council,-37.74936,144.98949,Northern Metropolitan
23122,Essendon North,3,t,PI,Brad,26/8/2017,8.2,3,2,1,,2012,Moonee Valley City Council,-37.73566,144.89368,Western Metropolitan
22215,Bayswater North,3,h,S,iTRAK,23/9/2017,23.2,3,2,2,482,1990,Maroondah City Council,-37.82391,145.30266,Eastern Metropolitan
4139,Essendon North,2,u,S,Brad,6/8/2016,9.4,2,1,1,999,1970,Moonee Valley City Council,-37.7396,144.902,Western Metropolitan
5299,Hawthorn,2,u,S,Jellis,18/6/2016,4.6,2,1,1,1228,1970,Boroondara City Council,-37.8185,145.0236,Southern Metropolitan
8717,Richmond,2,u,PI,LITTLE,3/9/2016,2.6,2,2,1,656,,Yarra City Council,-37.8195,145.0103,Northern Metropolitan
6073,Kew,2,h,S,Jellis,28/8/2016,5.6,,,,,,Boroondara City Council,-37.7929,145.0335,Southern Metropolitan
22165,Airport West,3,h,S,Brad,23/9/2017,10.4,3,1,2,551,1950,Moonee Valley City Council,-37.72739,144.88235,Western Metropolitan
30966,Eltham,3,h,SP,Buckingham,3/2/2018,18,3,1,2,,,Banyule City Council,-37.71011,145.15931,Eastern Metropolitan
18846,Balwyn North,4,h,S,Jellis,22/7/2017,9.7,4,1,2,683,,Boroondara City Council,-37.80275,145.08412,Southern Metropolitan
26569,West Footscray,2,h,S,hockingstuart,28/10/2017,6.4,2,1,3,,,Maribyrnong City Council,-37.79906,144.87624,Western Metropolitan
32833,Richmond,2,t,S,Ray,17/2/2018,2.4,2,1,1,182,,Yarra City Council,-37.81318,144.9946,Northern Metropolitan
3480,Coburg North,4,h,S,hockingstuart,10/9/2016,9.2,,,,,,Darebin City Council,,,Northern Metropolitan
26542,Vermont,3,h,S,MJ,28/10/2017,17.2,3,1,3,,,Maroondah City Council,-37.83523,145.18497,Eastern Metropolitan
17054,Hughesdale,3,h,VB,hockingstuart,27/5/2017,12.3,3,1,2,603,,Monash City Council,-37.90192,145.0756,Southern Metropolitan
8481,Reservoir,3,h,S,hockingstuart,15/10/2016,11.2,3,1,1,250,1960,Darebin City Council,-37.6974,145.0213,Northern Metropolitan
18707,Richmond,1,u,SP,Biggin,15/7/2017,2.4,1,1,1,7455,,Yarra City Council,-37.82201,145.0104,Northern Metropolitan
25352,Roxburgh Park,3,h,S,Raine,21/10/2017,20.6,3,2,2,328,2004,Hume City Council,-37.61388,144.9227,Northern Metropolitan
25115,Hawthorn,2,h,VB,Jellis,21/10/2017,5.3,2,1,0,,,Boroondara City Council,-37.81881,145.04028,Southern Metropolitan
24920,Brunswick,5,h,S,Nelson,21/10/2017,5.2,5,2,2,467,1915,Moreland City Council,-37.75607,144.95562,Northern Metropolitan
16206,Dandenong,3,h,PI,McLennan,24/6/2017,24.7,3,1,4,597,,Greater Dandenong City Council,-37.98265,145.22696,South-Eastern Metropolitan
13912,Williamstown,3,h,S,Greg,29/4/2017,8,3,2,2,184,,Hobsons Bay City Council,-37.8629,144.8896,Western Metropolitan
12011,South Kingsville,3,h,SP,hockingstuart,17/9/2016,9.1,3,2,2,738,,Hobsons Bay City Council,-37.834,144.8757,Western Metropolitan
15944,Seddon,1,u,S,Village,17/6/2017,5.1,1,1,1,0,,Maribyrnong City Council,-37.80504,144.88685,Western Metropolitan
23299,Mentone,3,h,S,Ray,26/8/2017,20,3,1,2,560,,Kingston City Council,-37.97738,145.07168,South-Eastern Metropolitan
20674,Mentone,4,h,PI,Buxton,9/9/2017,20,4,2,1,,2007,Kingston City Council,-37.976,145.05688,South-Eastern Metropolitan
3297,Coburg,3,t,PI,Brace,7/5/2016,7.8,3,2,2,0,,Darebin City Council,-37.7372,144.9764,Northern Metropolitan
18357,Watsonia,3,h,S,Morrison,12/8/2017,14.5,3,1,1,530,,Banyule City Council,-37.70598,145.07713,Northern Metropolitan
21835,Doveton,3,h,S,REMAX,19/8/2017,28.8,,,,,,Casey City Council,,,South-Eastern Metropolitan
21710,Briar Hill,4,h,S,Flannagan,19/8/2017,16.1,4,2,1,,,Banyule City Council,-37.70145,145.12075,Eastern Metropolitan
24602,Northcote,3,h,VB,Woodards,14/10/2017,5.3,3,2,4,634,1886,Darebin City Council,-37.77625,144.99572,Northern Metropolitan
22410,Essendon,5,h,S,Barry,23/9/2017,7.5,5,2,,,,Moonee Valley City Council,-37.75026,144.89113,Western Metropolitan
4997,Hampton,4,h,S,Nick,3/9/2016,13.7,3,3,2,701,2015,Bayside City Council,-37.9419,145.0152,Southern Metropolitan
7368,Northcote,3,t,S,Nelson,16/7/2016,5.5,3,2,2,608,2012,Darebin City Council,-37.7763,144.9967,Northern Metropolitan
22732,Richmond,2,t,S,Jellis,23/9/2017,2.4,2,1,1,,1910,Yarra City Council,-37.82335,144.99128,Northern Metropolitan
9205,South Yarra,1,u,S,LITTLE,3/12/2016,3.3,1,1,1,0,2013,Melbourne City Council,-37.8392,144.9947,Southern Metropolitan
25574,Bentleigh,5,h,S,Jellis,28/10/2017,11.4,5,3,2,697,2016,Glen Eira City Council,-37.93087,145.04172,Southern Metropolitan
17543,Essendon,3,h,SP,Barry,8/7/2017,7.5,3,2,1,445,1960,Moonee Valley City Council,-37.75621,144.93401,Western Metropolitan
16043,Altona,3,h,SP,Greg,24/6/2017,11,3,1,2,570,,Hobsons Bay City Council,-37.87028,144.80749,Western Metropolitan
6153,Maidstone,4,h,S,Rendina,3/9/2016,9.2,4,2,2,308,2012,Maribyrnong City Council,-37.7833,144.8817,Western Metropolitan
18262,Reservoir,4,h,S,Nelson,12/8/2017,12,4,2,2,499,1940,Darebin City Council,-37.72614,144.99892,Northern Metropolitan
14124,Moorabbin,2,t,S,Buxton,13/5/2017,14.6,2,1,1,179,2001,Kingston City Council,-37.9369,145.0473,Southern Metropolitan
3911,Elwood,2,u,S,Buxton,24/9/2016,7.7,2,1,1,0,,Port Phillip City Council,-37.8861,144.9863,Southern Metropolitan
31653,Croydon,3,h,VB,McGrath,3/3/2018,23,,,,,,Maroondah City Council,,,Eastern Metropolitan
817,Avondale Heights,3,h,S,Barry,28/5/2016,10.5,3,1,1,549,,Moonee Valley City Council,-37.7644,144.8575,Western Metropolitan
9189,South Melbourne,2,u,VB,Cayzer,30/7/2016,2.1,2,2,2,0,,Port Phillip City Council,-37.8361,144.9682,Southern Metropolitan
4404,Footscray,4,h,S,Sweeney/Advantage,8/10/2016,6.4,3,1,2,411,,Maribyrnong City Council,-37.7969,144.9049,Western Metropolitan
982,Balwyn,4,h,S,Mandy,27/11/2016,9.7,4,2,1,665,1940,Boroondara City Council,-37.8057,145.0825,Southern Metropolitan
24050,South Morang,3,h,S,Barry,7/10/2017,20.5,3,1,1,,1977,Whittlesea City Council,-37.65437,145.0854,Northern Metropolitan
29988,Windsor,2,h,VB,Beller,6/1/2018,4.6,2,1,1,165,,Port Phillip City Council,-37.85413,144.99622,Southern Metropolitan
14733,Aspendale,5,h,S,Barry,3/6/2017,21.5,,,,,,Kingston City Council,,,South-Eastern Metropolitan
33206,Coburg,3,h,S,Nelson,17/3/2018,6.7,3,1,2,409,,Darebin City Council,-37.74429,144.94827,Northern Metropolitan
27751,Essendon,6,h,VB,Brad,18/11/2017,7.5,6,3,5,1212,1970,Moonee Valley City Council,-37.7457,144.9149,Western Metropolitan
3599,Doncaster,3,h,PI,Barry,4/3/2017,13.9,,,,,,Manningham City Council,,,Eastern Metropolitan
22516,Ivanhoe East,2,u,S,Miles,23/9/2017,7.8,2,1,1,,1960,Banyule City Council,-37.77414,145.05379,Eastern Metropolitan
28798,Keilor East,3,h,SP,Nelson,25/11/2017,11.7,3,1,1,130,,Brimbank City Council,-37.7344,144.8598,Western Metropolitan
5630,Ivanhoe,3,t,S,Barry,27/6/2016,7.9,3,2,1,189,1990,Banyule City Council,-37.7661,145.0354,Eastern Metropolitan
282,Altona,2,h,SP,Compton,30/7/2016,13.8,2,1,1,154,1996,Hobsons Bay City Council,-37.8646,144.8272,Western Metropolitan
18539,Glenroy,3,t,S,Brad,15/7/2017,11.2,,,,,,Moreland City Council,,,Northern Metropolitan
6109,Kew East,3,h,S,Jellis,15/10/2016,7.5,3,1,2,836,,Boroondara City Council,-37.7951,145.053,Southern Metropolitan
27600,Bundoora,3,h,S,Ray,18/11/2017,12.1,3,2,1,,1984,Banyule City Council,-37.6833,145.058,Northern Metropolitan
83,Airport West,2,u,S,Barry,7/11/2016,13.5,2,1,1,141,2013,Moonee Valley City Council,-37.7298,144.8883,Western Metropolitan
12800,Flemington,2,u,VB,Nelson,22/4/2017,4.4,2,1,1,472,1960,Melbourne City Council,-37.7851,144.922,Northern Metropolitan
28274,Werribee,3,h,S,Ray,18/11/2017,14.7,,,,,,Wyndham City Council,,,Western Metropolitan
26191,Middle Park,4,h,PI,Marshall,28/10/2017,3,4,2,,189,1900,Port Phillip City Council,-37.85021,144.96247,Southern Metropolitan
30680,Point Cook,3,h,S,Ray,9/12/2017,14.7,3,2,2,,2003,Wyndham City Council,-37.89188,144.75124,Western Metropolitan
19988,Glen Iris,3,h,VB,Marshall,3/9/2017,7.3,3,2,2,400,1900,Boroondara City Council,-37.85223,145.08676,Southern Metropolitan
30312,Elwood,2,h,SP,hockingstuart,9/12/2017,7.2,2,1,1,254,,Port Phillip City Council,-37.87704,144.98948,Southern Metropolitan
19505,Highett,2,h,PI,hockingstuart,29/7/2017,16,2,1,2,591,1950,Bayside City Council,-37.94763,145.02717,Southern Metropolitan
9239,South Yarra,2,u,PI,Williams,8/10/2016,3.3,2,1,1,0,1960,Melbourne City Council,-37.8343,144.9899,Southern Metropolitan
31843,Ivanhoe,4,h,S,Miles,3/3/2018,7.8,4,2,0,650,1925,Banyule City Council,-37.76432,145.04201,Eastern Metropolitan
21198,Gisborne,4,h,S,Raine,16/9/2017,45.9,,,,,,Macedon Ranges Shire Council,,,Northern Victoria
7057,Newport,3,h,SP,Jas,10/12/2016,8.4,3,2,1,0,1970,Hobsons Bay City Council,-37.8352,144.8661,Western Metropolitan
32566,Croydon South,3,h,S,Jellis,17/2/2018,23,3,2,1,379,1970,Maroondah City Council,-37.81669,145.28136,Eastern Metropolitan
32070,Reservoir,3,u,SP,Barry,3/3/2018,12,,,,,,Darebin City Council,,,Northern Metropolitan
13826,Thornbury,3,u,SP,McGrath,6/5/2017,6.5,,,,,,Darebin City Council,,,Northern Metropolitan
31357,Taylors Lakes,4,h,PI,Barry,10/2/2018,15.5,4,2,2,,1980,Brimbank City Council,-37.71306,144.80927,Western Metropolitan
14452,Keilor Downs,3,h,SP,Barry,1/7/2017,15.5,,,,,,Brimbank City Council,,,Western Metropolitan
32960,Altona,5,h,S,Sweeney,17/3/2018,11,5,2,6,537,,Hobsons Bay City Council,-37.86148,144.82461,Western Metropolitan
24702,South Melbourne,3,t,S,Barry,14/10/2017,1.9,3,2,1,,2000,Port Phillip City Council,-37.83394,144.96327,Southern Metropolitan
15718,Highett,3,h,PI,Buxton,17/6/2017,16,3,2,1,650,,Bayside City Council,-37.95378,145.03267,Southern Metropolitan
18641,Murrumbeena,2,u,PI,Fletchers,15/7/2017,10.1,2,2,1,1039,,Glen Eira City Council,-37.88519,145.06715,Southern Metropolitan
22163,Aberfeldie,1,u,SP,Brad,23/9/2017,7.5,1,1,1,,1970,Moonee Valley City Council,-37.75882,144.9027,Western Metropolitan
19375,Coburg North,4,h,S,Nelson,29/7/2017,6.7,4,2,2,500,1930,Darebin City Council,-37.72165,144.95853,Northern Metropolitan
31140,Coburg,2,h,S,Nelson,10/2/2018,6.7,2,1,1,490,,Darebin City Council,-37.73661,144.98053,Northern Metropolitan
28995,Prahran,2,u,S,hockingstuart,25/11/2017,4.6,,,,,,Stonnington City Council,,,Southern Metropolitan
10045,Surrey Hills,4,h,PI,Ray,8/10/2016,11.2,4,2,2,867,1950,Boroondara City Council,-37.8346,145.1059,Southern Metropolitan
22668,Oak Park,2,h,S,Brad,23/9/2017,11.2,2,1,1,742,,Moreland City Council,-37.72123,144.92614,Northern Metropolitan
2298,Brunswick,2,t,S,Ray,27/6/2016,5.2,,,,,,Moreland City Council,,,Northern Metropolitan
12549,Carlton North,2,u,PI,McGrath,22/4/2017,3.2,,,,,,Melbourne City Council,-37.7839,144.971,Northern Metropolitan
33448,Jacana,3,h,PI,Nelson,17/3/2018,14,3,1,1,600,,Hume City Council,-37.68991,144.91132,Northern Metropolitan
2570,Burwood,5,h,S,RW,17/9/2016,11.7,5,4,2,643,2014,Monash City Council,-37.8454,145.0974,Southern Metropolitan
9193,South Yarra,2,u,SP,Jellis,3/9/2016,3.3,2,1,1,0,2003,Melbourne City Council,-37.8393,144.9886,Southern Metropolitan
4774,Glenroy,2,h,SP,Barry,7/11/2016,13,2,1,2,643,,Moreland City Council,-37.6978,144.9276,Northern Metropolitan
14662,Tecoma,4,h,SP,Harcourts,1/7/2017,30.4,,,,,,Yarra Ranges Shire Council,,,Eastern Victoria
19360,Chelsea Heights,5,h,S,Ray,29/7/2017,27,5,5,4,570,1990,Kingston City Council,-38.03335,145.13212,South-Eastern Metropolitan
186,Albert Park,2,h,S,Greg,28/5/2016,3.3,2,1,0,79,1890,Port Phillip City Council,-37.8387,144.9519,Southern Metropolitan
11084,Brunswick East,3,t,PI,Jellis,19/11/2016,4.5,3,3,2,87,1998,Moreland City Council,-37.7739,144.975,Northern Metropolitan
16566,Strathmore,3,h,S,Trimson,24/6/2017,8.2,3,3,2,698,,Moonee Valley City Council,-37.74246,144.92074,Western Metropolitan
20324,Ascot Vale,3,u,SP,Jellis,9/9/2017,4.3,3,2,1,3215,1900,Moonee Valley City Council,-37.78344,144.92183,Western Metropolitan
21119,Croydon,3,h,S,RW,16/9/2017,23,3,1,2,857,1960,Maroondah City Council,-37.80244,145.29711,Eastern Metropolitan
1891,Brighton,2,h,S,Hodges,22/8/2016,11.2,2,1,2,411,1910,Bayside City Council,-37.9095,145.004,Southern Metropolitan
21496,Ringwood,4,h,PI,Carter,16/9/2017,19.9,4,1,0,697,1980,Maroondah City Council,-37.81169,145.22244,Eastern Metropolitan
27789,Frankston North,4,h,SA,hockingstuart,18/11/2017,36.9,4,2,2,599,1960,Frankston City Council,-38.125,145.1423,Eastern Victoria
25412,Tarneit,4,h,S,hockingstuart,21/10/2017,18.4,4,2,2,448,2010,Wyndham City Council,-37.84743,144.71243,Western Metropolitan
5665,Keilor East,3,h,SP,Barry,3/9/2016,12.8,3,1,1,538,1970,Brimbank City Council,-37.7441,144.8503,Western Metropolitan
8073,Prahran,2,h,S,Marshall,25/2/2017,4.5,2,1,0,214,1915,Stonnington City Council,-37.8572,145.0066,Southern Metropolitan
34677,Ripponlea,1,u,SP,Gary,24/2/2018,7.2,,,,,,Port Phillip City Council,,,Southern Metropolitan
20803,Sandringham,5,h,S,Buxton,9/9/2017,15.2,5,3,1,545,,Bayside City Council,-37.94953,145.00607,Southern Metropolitan
4072,Essendon,2,u,VB,Nelson,18/6/2016,8,2,1,1,0,1970,Moonee Valley City Council,-37.7554,144.9127,Western Metropolitan
24419,Gladstone Park,3,h,VB,Brad,14/10/2017,12.9,3,1,1,606,1980,Hume City Council,-37.6995,144.89012,Western Metropolitan
26289,Ormond,4,h,S,Buxton,28/10/2017,11.4,4,2,2,,,Glen Eira City Council,-37.89896,145.03742,Southern Metropolitan
15355,Vermont South,3,u,SP,Noel,3/6/2017,17.2,3,2,1,302,,Whitehorse City Council,-37.85732,145.19195,Eastern Metropolitan
23238,Kew,4,h,SP,Nelson,26/8/2017,5.4,4,2,2,191,,Boroondara City Council,-37.80001,145.03125,Southern Metropolitan
19159,South Yarra,2,u,VB,Gary,22/7/2017,2.7,2,2,0,0,2014,Melbourne City Council,-37.83863,144.99379,Southern Metropolitan
10245,Templestowe Lower,4,h,PI,Barry,30/7/2016,13.8,,,,,,Manningham City Council,,,Eastern Metropolitan
26023,Hampton East,4,h,S,Woodards,28/10/2017,13.8,4,1,3,,,Bayside City Council,-37.93575,145.02931,Southern Metropolitan
31146,Craigieburn,4,h,S,Ray,10/2/2018,20.6,4,2,2,,2009,Hume City Council,-37.5945,144.90624,Northern Metropolitan
16752,Bundoora,4,h,PI,Ray,27/5/2017,12.1,4,2,2,520,2004,Banyule City Council,-37.68155,145.04945,Northern Metropolitan
29693,Mernda,4,h,S,RW,6/1/2018,25.9,4,2,2,430,,Whittlesea City Council,-37.60554,145.07581,Northern Metropolitan
32531,Caroline Springs,3,h,PI,GL,17/2/2018,14.8,,,,,,Melton City Council,,,Western Metropolitan
1464,Bentleigh East,4,t,PI,Buxton,12/11/2016,13.9,,,,,,Glen Eira City Council,,,Southern Metropolitan
9483,St Kilda,2,u,SP,Biggin,3/12/2016,6.1,,,,,,Port Phillip City Council,,,Southern Metropolitan
29772,Nunawading,3,h,S,VICPROP,6/1/2018,15.4,3,1,2,589,,Manningham City Council,-37.80755,145.17027,Eastern Metropolitan
17705,Parkville,2,t,PI,LITTLE,8/7/2017,1.8,2,1,1,145,,Melbourne City Council,-37.7882,144.94205,Northern Metropolitan
32974,Armadale,3,h,S,RT,17/3/2018,6.3,3,2,2,263,1930,Stonnington City Council,-37.85137,145.0158,Southern Metropolitan
5761,Keilor East,3,h,SP,Moonee,30/7/2016,12.8,3,2,4,598,1970,Brimbank City Council,-37.7487,144.8526,Western Metropolitan
17995,Deepdene,4,t,S,Fletchers,12/8/2017,7.9,4,2,1,254,1995,Boroondara City Council,-37.81007,145.06792,Southern Metropolitan
34450,Malvern,4,h,S,Jellis,24/2/2018,5.9,4,2,2,704,,Stonnington City Council,-37.86062,145.03984,Southern Metropolitan
19097,Northcote,1,u,S,Ray,22/7/2017,5.3,1,1,1,1279,,Darebin City Council,-37.7662,144.99907,Northern Metropolitan
14747,Bayswater,5,h,S,Noel,3/6/2017,23.2,5,2,2,992,1970,Knox City Council,-37.84613,145.25606,Eastern Metropolitan
4967,Hadfield,2,h,S,Stockdale,13/8/2016,12.1,3,3,1,580,1950,Moreland City Council,-37.7098,144.9424,Northern Metropolitan
17606,Keilor Downs,3,h,S,Ray,8/7/2017,15.5,3,2,4,708,,Brimbank City Council,-37.72659,144.79668,Western Metropolitan
357,Altona North,3,h,S,RT,27/11/2016,11.1,,,,,,Hobsons Bay City Council,,,Western Metropolitan
3454,Coburg,2,h,SP,Jellis,30/7/2016,7.8,2,1,1,702,,Darebin City Council,-37.7517,144.9795,Northern Metropolitan
17446,Box Hill,5,h,S,Lindellas,8/7/2017,10.9,5,3,2,803,,Whitehorse City Council,-37.82148,145.1289,Eastern Metropolitan
4753,Glenroy,5,h,PI,Barry,4/3/2017,13,5,3,1,487,,Moreland City Council,-37.7088,144.926,Northern Metropolitan
9822,Sunshine,3,h,SP,Bells,22/5/2016,12.6,3,1,4,505,1960,Brimbank City Council,-37.7817,144.8448,Western Metropolitan
25722,Burwood,4,h,S,Buxton,28/10/2017,10.4,4,1,2,699,,Monash City Council,-37.84443,145.10435,Southern Metropolitan
15764,Maidstone,2,t,SP,hockingstuart,17/6/2017,6.4,2,1,1,59,2014,Maribyrnong City Council,-37.77824,144.87427,Western Metropolitan
9775,Sunshine,3,h,S,Douglas,10/9/2016,12.6,3,1,1,542,1950,Brimbank City Council,-37.7949,144.8303,Western Metropolitan
32836,Ringwood,2,h,S,Philip,17/2/2018,19.9,2,1,1,298,,Maroondah City Council,-37.80982,145.22514,Eastern Metropolitan
24663,Reservoir,2,h,S,Stockdale,14/10/2017,12,,,,,,Darebin City Council,,,Northern Metropolitan
8391,Reservoir,3,h,S,Ray,8/10/2016,11.2,3,3,2,618,1960,Darebin City Council,-37.7154,144.9962,Northern Metropolitan
23372,Pascoe Vale,2,t,S,Barry,26/8/2017,8.5,2,1,2,,2012,Moreland City Council,-37.71874,144.95016,Northern Metropolitan
27806,Glen Iris,4,h,PI,Kay,18/11/2017,7.3,4,2,2,706,1900,Boroondara City Council,-37.8591,145.0755,Southern Metropolitan
7158,Niddrie,3,h,S,Brad,11/2/2017,11.2,3,1,1,716,1950,Moonee Valley City Council,-37.7368,144.8856,Western Metropolitan
11557,Kingsbury,2,h,S,Ray,11/3/2017,12.4,2,1,0,640,,Darebin City Council,-37.717,145.0312,Northern Metropolitan
25229,Montmorency,3,t,PI,Jellis,21/10/2017,16.2,,,,,,Banyule City Council,,,Eastern Metropolitan
6727,Melbourne,2,u,VB,Kay,24/9/2016,2.8,2,2,1,0,2014,Melbourne City Council,-37.8161,144.9712,Northern Metropolitan
24287,Cheltenham,4,h,SP,Buxton,14/10/2017,17.9,4,2,2,,2007,Bayside City Council,-37.95915,145.04311,Southern Metropolitan
312,Altona North,3,h,SP,Greg,10/12/2016,11.1,,,,,,Hobsons Bay City Council,,,Western Metropolitan
34114,Cheltenham,2,t,S,O'Brien,24/2/2018,17.9,,,,338,,Bayside City Council,-37.97144,145.07268,Southern Metropolitan
6541,Maribyrnong,2,u,S,Trimson,7/11/2016,8.7,2,1,1,170,,Maribyrnong City Council,-37.7818,144.8859,Western Metropolitan
7263,North Melbourne,2,u,S,Alexkarbon,27/11/2016,2.3,2,1,1,0,2005,Melbourne City Council,-37.8044,144.9566,Northern Metropolitan
7022,Newport,3,h,SP,RT,3/12/2016,8.4,,,,,,Hobsons Bay City Council,,,Western Metropolitan
34683,Roxburgh Park,3,t,S,RW,24/2/2018,20.6,3,2,2,245,2000,Hume City Council,-37.62272,144.92727,Northern Metropolitan
33469,Kew,4,h,PI,Jellis,17/3/2018,5.4,4,3,3,774,2004,Boroondara City Council,-37.81152,145.04885,Southern Metropolitan
12064,Keilor Park,4,h,S,Barry,11/2/2017,14.5,4,2,1,697,,Brimbank City Council,-37.7216,144.8605,Western Metropolitan
18465,Coburg,3,h,S,Nelson,15/7/2017,6.7,3,1,0,227,1920,Darebin City Council,-37.75296,144.95967,Northern Metropolitan
27351,Sunbury,3,h,S,Barry,11/11/2017,31.7,3,1,,736,,Hume City Council,-37.5836,144.7549,Western Metropolitan
7184,Niddrie,3,h,SP,Nelson,22/8/2016,11.2,3,1,0,656,1950,Moonee Valley City Council,-37.738,144.8816,Western Metropolitan
16830,Craigieburn,3,h,S,@Realty,27/5/2017,20.6,3,2,0,598,1990,Hume City Council,-37.5993,144.93867,Northern Metropolitan
13466,Prahran,2,h,SP,Gary,8/4/2017,4.5,2,1,1,210,,Stonnington City Council,-37.8551,145.0058,Southern Metropolitan
17467,Burwood,3,h,S,Buxton,8/7/2017,10.4,3,1,2,695,,Monash City Council,-37.85126,145.1132,Southern Metropolitan
29972,Werribee,3,h,S,Barry,6/1/2018,14.7,3,2,2,341,1995,Wyndham City Council,-37.88098,144.65754,Western Metropolitan
